,Athenes,Budapest,Copenhagen,Frankfurt,Helsinki,Kiev,London,Madrid,Moscow,Nice,Riga,Rome,Tromsø
Athenes,0,1125,2142,1818,2493,1481,2394,2380,2234,1543,2113,1670,3540
Budapest,1125,0,1018,836,1481,882,1468,1976,1564,1027,1103,815,2476
Copenhagen,2142,1018,0,679,893,1320,959,2061,1558,1387,722,1530,1596
Frankfurt,1818,836,679,0,1528,1553,633,1423,2035,717,1272,955,2255
Helsinki,2493,1481,893,1528,0,1155,1830,2950,901,2202,383,2219,1079
Kiev,1481,882,1320,1553,1155,0,2131,2846,757,1906,840,1670,2230
London,2394,1468,959,633,1830,2131,0,1255,2501,1029,1678,1435,2253
Madrid,2380,1976,2061,1423,2950,2846,1255,0,3431,958,2695,1353,3504
Moscow,2234,1564,1558,2035,901,757,2501,3431,0,2539,843,2378,1803
Nice,1543,1027,1387,717,2202,1906,1029,958,2539,0,1887,474,2972
Riga,2113,1103,722,1272,383,840,1678,2695,843,1887,0,1071,1440
Rome,1670,815,1530,955,2219,1670,1435,1353,2378,474,1071,0,3114
Tromsø,3540,2476,1596,2255,1079,2230,2253,3504,1803,2972,1440,3114,0